"Experiment 1+2"			"Experiment 1"	"Experiment 2"	"Experiment 2"	"Experiment 2"	"Experiment 2"	"Experiment 2"						
"#"	"Seed"	"Size"	"Diffs Trainbenchmark-CrossEcore"	"Diffs CrossEcore-EMF"	"Diffs Trainbenchmark-EMF"	"Diffs EMF-CrossEcore2"	"Diffs CrossEcore-CrossEcore2"	"Diffs Trainbenchmark-CrossEcore2"						
		32	103,612151399	0,191435101	6,91303499997593	51,0169849998783	48567	131838	2,7145592686392	180405	0,574330818985061	0,001061140772152	0,038319531054993	0,282791413762802
		64	475,9496318	0,5349133	15,4532099999487	235,234169999836	99021	268709	2,71365669908403	367730	1,29429100644495	0,001454636010116	0,04202325075449	0,639692627742735
		128	1938,7671676	0,6619493	34,3198299999349	1082,26393499994	203393	551972	2,713820042971	755365	2,56666269631238	0,000876330383325	0,045434763326253	1,43276950216113
														
										"AVG"	"EMF"	"EMF"	"CrossEcore"	"CrossEcore"
									"#"	"AVG-Obj+Ref"	"Load (in s)"	"Save (in s)"	"Load (in s)"	"Save (in s)"
									1	5534,4	0,727241456198266	0,301174965068022	0,369990659682203	0,223144516859653
									2	12049,2	0,562820294509388	0,036001537038644	0,41803153293009	0,521366300722861
									4	24112,4	1,93631343982543	0,048423070682317	0,780335910450585	1,38256697540174
									8	44246,6	6,01795820273938	0,048584146848109	1,42387817809514	3,73340839118125
									16	85939,6	22,8535301937071	0,087932017895565	2,86350493090737	12,3120918368908
									32	182382	110,145179209096	0,175402341816575	7,18683083582272	52,76234934361
									64	364383,6	473,295534481304	0,470590798763131	14,9978269855174	230,700790062616
									128	735830,6	1959,48122228038	1,001900081406	32,6111864194174	1050,08958236203
